2020-11-25 22:48:44,030.30  | VALIDATOR  | INFO | ------------------------------------------------
2020-11-25 22:56:57,949.949  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:56:57,949.949  | VALIDATOR  | INFO | 136819-instance-150.txt
2020-11-25 22:56:57,949.949  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:56:58,804.804  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:56:58,804.804  | VALIDATOR  | INFO | CORRECT  Actual value: 77.73
2020-11-25 22:56:59,019.19  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:56:59,019.19  | VALIDATOR  | INFO | 136819-instance-200.txt
2020-11-25 22:56:59,020.20  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:56:59,852.852  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:56:59,852.852  | VALIDATOR  | INFO | CORRECT  Actual value: 190.47
2020-11-25 22:57:00,046.46  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:00,046.46  | VALIDATOR  | INFO | 136819-instance-250.txt
2020-11-25 22:57:00,046.46  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:00,890.890  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:57:00,890.890  | VALIDATOR  | INFO | CORRECT  Actual value: 173.03
2020-11-25 22:57:01,105.105  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:01,105.105  | VALIDATOR  | INFO | 136819-instance-300.txt
2020-11-25 22:57:01,105.105  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:01,937.937  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:57:01,953.953  | VALIDATOR  | INFO | CORRECT  Actual value: 142.18
2020-11-25 22:57:02,155.155  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:02,155.155  | VALIDATOR  | INFO | 136819-instance-350.txt
2020-11-25 22:57:02,155.155  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:03,007.7  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:57:03,007.7  | VALIDATOR  | INFO | CORRECT  Actual value: 176.16
2020-11-25 22:57:03,222.222  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:03,222.222  | VALIDATOR  | INFO | 136819-instance-400.txt
2020-11-25 22:57:03,222.222  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:04,123.123  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:57:04,123.123  | VALIDATOR  | INFO | CORRECT  Actual value: 352.7
2020-11-25 22:57:04,324.324  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:04,324.324  | VALIDATOR  | INFO | 136819-instance-450.txt
2020-11-25 22:57:04,324.324  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:05,242.242  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:57:05,242.242  | VALIDATOR  | INFO | CORRECT  Actual value: 291.38
2020-11-25 22:57:05,441.441  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:05,441.441  | VALIDATOR  | INFO | 136819-instance-50.txt
2020-11-25 22:57:05,441.441  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:06,295.295  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:57:06,295.295  | VALIDATOR  | INFO | CORRECT  Actual value: 56.59
2020-11-25 22:57:06,495.495  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:06,495.495  | VALIDATOR  | INFO | 136819-instance-500.txt
2020-11-25 22:57:06,495.495  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:07,427.427  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:57:07,427.427  | VALIDATOR  | INFO | CORRECT  Actual value: 474.9
2020-11-25 22:57:30,099.99  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:30,099.99  | VALIDATOR  | INFO | 136819-instance-100.txt
2020-11-25 22:57:30,099.99  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:30,322.322  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:30,322.322  | VALIDATOR  | INFO | 136819-instance-150.txt
2020-11-25 22:57:30,322.322  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:30,555.555  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:30,555.555  | VALIDATOR  | INFO | 136819-instance-200.txt
2020-11-25 22:57:30,555.555  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:30,773.773  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:30,773.773  | VALIDATOR  | INFO | 136819-instance-250.txt
2020-11-25 22:57:30,773.773  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:30,989.989  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:30,989.989  | VALIDATOR  | INFO | 136819-instance-300.txt
2020-11-25 22:57:30,989.989  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:31,205.205  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:31,205.205  | VALIDATOR  | INFO | 136819-instance-350.txt
2020-11-25 22:57:31,205.205  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:31,421.421  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:31,421.421  | VALIDATOR  | INFO | 136819-instance-400.txt
2020-11-25 22:57:31,421.421  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:31,636.636  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:31,636.636  | VALIDATOR  | INFO | 136819-instance-450.txt
2020-11-25 22:57:31,636.636  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:31,853.853  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:31,853.853  | VALIDATOR  | INFO | 136819-instance-50.txt
2020-11-25 22:57:31,853.853  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:57:32,071.71  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:57:32,071.71  | VALIDATOR  | INFO | 136819-instance-500.txt
2020-11-25 22:57:32,071.71  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:32,817.817  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:32,817.817  | VALIDATOR  | INFO | 136819-instance-100.txt
2020-11-25 22:58:32,817.817  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:33,019.19  | VALIDATOR  | INFO | ------------------------------------------------

